ID,Name,Rating,Price,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,Popularity,BaseStats,InGameStats,Revision,Position,WorkRate,Height,Club,Country,League,NationPic,ClubPic,PlayerPic
10,Alisson,97,590K,1,3,97,92,95,97,70,95,91kg),765,546,-,TOTY,GK,M\M,"191cm|6'3""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p84098911.png?v=22,
11,N'Golo Kanté,97,2.75M,2,3,91,88,95,95,97,93,72kg),2315,559,2587,TOTY,CDM,M\H,"168cm|5'6""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/5.png,https://cdn.futbin.com/content/fifa20/img/players/p134433642.png?v=22,
12,Ronaldo,97,0,5,5,98,97,82,98,46,82,9,82kg),1944,503,2418,Icon,ST,M\M,"183cm|6'0""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246497.png?v=22
13,Zinedine Zidane,97,7.9M,5,5,87,96,97,96,76,88,78kg),437,540,2608,Icon,CAM,M\M,"185cm|6'1""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p248451.png?v=22,
14,Lionel Messi,97,4.6M,4,4,92,95,95,99,43,71,72kg),2584,495,2389,LaLiga POTM SBC,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p167930183.png?v=22,
15,Ronaldo,96,12.48M,5,5,97,95,81,95,45,76,9,78kg),1347,489,2341,Icon,ST,M\M,"183cm|6'0""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/37576.png?v=22
16,Zinedine Zidane,96,4.8M,5,5,85,92,96,95,75,86,77kg),1169,529,2537,Icon,CAM,M\M,"185cm|6'1""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/1397.png?v=22,
17,Lionel Messi,96,2.01M,4,4,91,94,94,98,42,70,72kg),1600,489,2361,CL TOTT,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p100821319.png?v=22,
18,Lionel Messi,96,1.86M,4,4,90,94,94,98,41,69,72kg),2836,486,2350,LaLiga POTM SBC,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p134375751.png?v=22,
19,Matthijs de Ligt,96,1.18M,2,4,85,75,86,88,96,96,89kg),1555,526,2424,TOTY,CB,M\H,"189cm|6'2""",Serie A TIM,https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/p134452971.png?v=22,
20,Robert Lewandowski,96,1.18M,4,4,88,97,87,93,48,90,80kg),4231,503,2445,Headliners,ST,H\M,"184cm|6'0""",Bundesliga,https://cdn.futbin.com/content/fifa20/img/nation/37.png,https://cdn.futbin.com/content/fifa20/img/clubs/21.png,https://cdn.futbin.com/content/fifa20/img/players/p184737921.png?v=22,
21,Johan Cruyff,96,11.18M,5,5,93,96,93,98,43,77,71kg),1204,500,2418,Icon,CF,H\L,"180cm|5'11""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246516.png?v=22,
22,Lionel Messi,96,2.8M,4,4,91,95,94,98,41,71,72kg),1387,490,2365,ShapeShifters,CF,H\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p184707399.png?v=22,
23,Pelé,95,3.93M,5,4,96,93,90,95,56,75,69kg),580,505,2452,Icon,CF,H\M,"173cm|5'8""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/237068.png?v=22,
24,Diego Maradona,95,1.75M,5,3,88,91,90,95,42,75,72kg),418,481,2357,Icon,CAM,H\M,"165cm|5'5""",Icons,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/237074.png?v=22,
25,Lionel Messi,95,1.16M,4,4,89,93,93,97,40,68,72kg),4172,480,2320,IF,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p67266887.png?v=22,
26,Lionel Messi,95,1.02M,4,4,88,93,93,97,40,67,72kg),342,478,2314,TOTY Nominee,RW,M\L,"170cm|5'7""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p117598535.png?v=22,
27,Trent Alexander-Arnold,95,1.08M,3,4,92,85,97,92,92,87,69kg),1092,545,2603,TOTY,RB,H\M,"180cm|5'11""",Premier League,https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p168003441.png?v=22,
28,Eden Hazard,95,2.36M,4,4,94,92,92,97,39,71,74kg),2489,485,2332,Player Moments Obj,LW,H\M,"175cm|5'9""",LaLiga Santander,https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p151178221.png?v=22,
29,Neymar Jr,95,4.58M,5,5,94,90,93,98,35,62,68kg),1970,472,2309,Headliners,CAM,H\M,"175cm|5'9""",Ligue 1 Conforama,https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p117631383.png?v=22,
30,Ronaldinho,95,11.68M,5,4,95,93,94,98,38,83,78kg),674,501,2407,Icon,CAM,H\L,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246472.png?v=22,
31,Thierry Henry,95,3.6M,4,4,96,95,86,96,54,82,83kg),464,509,2416,Icon,ST,H\M,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246489.png?v=22,
32,Paolo Maldini,95,4.95M,2,4,88,60,77,70,99,85,83kg),453,479,2222,Icon,CB,M\H,"186cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246535.png?v=22,
33,Lev Yashin,95,910K,1,3,98,91,76,99,66,99,82kg),207,529,-,Icon,GK,M\M,"189cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/40.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246526.png?v=22,
34,Garrincha,95,3M,5,4,92,90,96,97,42,73,72kg),179,490,2374,Icon,RW,H\L,"169cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p247554.png?v=22,
35,Cristiano Ronaldo,95,2.41M,5,4,94,94,85,91,39,82,7,83kg),881,485,2337,ShapeShifters,RW,H\M,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/p134238529.png?v=22
36,Kevin De Bruyne,95,865K,4,5,82,93,96,92,66,84,70kg),1582,513,2452,TOTW Moments,CM,H\H,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p184742361.png?v=22,
37,Paolo Maldini,94,2.65M,2,4,86,56,75,69,96,83,83kg),346,465,2140,Icon,CB,M\H,"186cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/238439.png?v=22,
38,Ronaldo,94,7.72M,5,5,93,93,80,93,46,80,9,82kg),1073,485,2321,Icon,ST,M\L,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/237064.png?v=22
39,Lev Yashin,94,620K,1,3,95,89,75,96,60,95,82kg),424,510,1320,Icon,GK,M\M,"189cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/40.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/238380.png?v=22,
40,Ronaldinho,94,5.3M,5,4,92,90,91,95,37,81,78kg),584,486,2328,Icon,LW,H\L,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/28130.png?v=22,
41,Lionel Messi,94,654K,4,4,87,92,92,96,39,66,72kg),7960,472,2297,Normal,RW,M\L,"170cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/158023.png?v=22,
42,Johan Cruyff,94,5.99M,5,5,91,92,91,94,42,73,71kg),479,483,2339,Icon,CF,H\L,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/190045.png?v=22,
43,Zinedine Zidane,94,2.76M,5,5,82,90,93,92,72,83,82kg),704,512,2474,Icon,CAM,M\M,"185cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/248450.png?v=22,
44,Mané Garrincha,94,1.71M,5,4,90,87,94,96,41,68,72kg),399,476,2301,Icon,RW,M\L,"169cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/247553.png?v=22,
45,Lionel Messi,94,652K,4,4,87,92,92,96,39,66,72kg),875,472,2297,CL,RW,M\L,"170cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/158023.png?v=22,
46,Cristiano Ronaldo,94,1.14M,5,4,91,94,84,90,36,80,7,83kg),2610,475,2292,IF,LW,H\L,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/20801.png?v=22
47,Cristiano Ronaldo,94,1.37M,5,4,91,94,83,90,36,79,7,83kg),526,473,2282,TOTY Nominee,ST,H\L,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/p100684097.png?v=22
48,Kevin De Bruyne,94,620K,4,5,81,91,95,90,65,83,70kg),2302,505,2412,SIF,CAM,H\H,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p134410713.png?v=22,
49,Andrew Robertson,94,879K,3,2,94,75,94,91,92,89,64kg),1001,535,2454,TOTY,LB,H\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/42.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p117656779.png?v=22,
50,Frenkie de Jong,94,2.07M,4,3,88,87,93,95,88,90,74kg),3229,541,2567,TOTY,CM,M\H,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p134446430.png?v=22,
51,Mohamed Salah,94,1.29M,4,3,97,91,90,93,50,80,71kg),719,501,2379,Headliners Upgrade,RW,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/111.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p134427059.png?v=22,
52,Roberto Baggio,94,1.14M,5,4,89,90,93,94,41,62,73kg),187,469,2285,Icon,CF,M\L,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246493.png?v=22,
53,Lothar Matthäus,94,3.05M,3,4,91,92,92,84,92,87,75kg),315,538,2608,Icon,CM,H\H,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246534.png?v=22,
54,Fabio Cannavaro,94,1.66M,2,3,85,44,65,70,98,90,73kg),478,452,2137,Icon,CB,M\H,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246490.png?v=22,
55,Javier Zanetti,94,1.38M,2,4,89,64,89,86,93,85,75kg),307,506,2378,Icon,CDM,H\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246492.png?v=22,
56,Puyol,94,726K,2,3,73,46,70,61,98,94,80kg),844,442,2095,Icon,CB,M\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246528.png?v=22,
57,Ruud Gullit,94,13.5M,4,5,90,95,93,91,83,91,88kg),865,543,2625,Icon,CF,H\M,"191cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246521.png?v=22,
58,Alessandro Del Piero,94,2.02M,4,5,86,96,92,94,46,70,74kg),460,484,2334,Icon,CAM,H\M,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246527.png?v=22,
59,Marco van Basten,94,902K,3,4,86,95,77,91,39,80,77kg),298,468,2278,Icon,ST,M\M,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246519.png?v=22,
60,George Best,94,3.78M,4,4,96,95,85,98,59,73,65kg),338,506,2454,Icon,LW,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/35.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246524.png?v=22,,
61,Ryan Giggs,94,600K,3,2,94,86,91,93,45,68,71kg),26,477,2295,Icon,LM,H\M,"179cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/50.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246485.png?v=22,,
62,Eusébio,94,0,4,5,97,99,87,95,46,80,76kg),774,504,2464,Icon,CF,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246541.png?v=22,,
63,Franco Baresi,94,660K,2,3,74,50,78,75,97,84,70kg),110,458,2193,Icon,CB,M\H,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p246513.png?v=22,,
64,Kaká,94,3.28M,5,4,95,94,91,95,46,77,78kg),740,498,2363,Icon,CAM,H\M,"186cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p247299.png?v=22,,
65,Andrea Pirlo,94,970K,5,4,76,85,97,93,76,68,68kg),259,495,2436,Icon,CM,M\M,"177cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p247615.png?v=22,,
66,Carlos Alberto Torres,94,1.72M,3,4,92,70,82,88,92,89,76kg),156,513,2409,Icon,RB,H\M,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/p247326.png?v=22,,
67,Neymar Jr,94,1,POTM,2.56M,5,5,93,89,91,97,34,60,68kg),2299,464,2268,Ligue,LW,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p134408599.png?v=22
68,Kylian Mbappé,94,5.55M,5,5,99,92,88,95,45,84,73kg),281,503,2372,FUT Birthday,ST,H\L,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p218335555.png?v=22,,
69,Eden Hazard,94,1.32M,5,4,93,90,90,96,38,70,74kg),753,477,2291,FUT Birthday,ST,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p167955437.png?v=22,,
70,Robert Lewandowski,94,384K,4,4,85,95,82,91,46,88,80kg),1075,487,2370,TOTW Moments,ST,H\M,"184cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/37.png,https://cdn.futbin.com/content/fifa20/img/clubs/21.png,https://cdn.futbin.com/content/fifa20/img/players/p235069569.png?v=22,,
71,Marco van Basten,93,0,3,4,83,94,76,89,39,75,78kg),158,456,2231,Icon,ST,M\M,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/192181.png?v=22,,
72,Lothar Matthäus,93,1.99M,3,4,89,89,90,82,90,85,71kg),478,525,2544,Icon,CM,H\H,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/238435.png?v=22,,
73,George Best,93,1.99M,4,4,93,91,84,94,58,71,65kg),205,491,2370,Icon,RW,M\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/35.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/226764.png?v=22,,
74,Ruud Gullit,93,7.79M,4,5,86,91,91,89,82,90,88kg),835,529,2566,Icon,CF,H\M,"191cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/214100.png?v=22,,
75,Franco Baresi,93,390K,2,3,70,49,76,72,95,82,70kg),55,444,2131,Icon,CB,M\H,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/166906.png?v=22,,
76,Thierry Henry,93,2.09M,4,4,94,91,83,90,53,80,83kg),565,491,2332,Icon,ST,M\M,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/1625.png?v=22,,
77,Cristiano Ronaldo,93,719K,5,4,90,93,82,89,35,78,7,83kg),5615,467,2265,Normal,ST,H\L,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/20801.png?v=22,
78,Roberto Baggio,93,552K,5,4,86,84,92,92,40,61,73kg),280,455,2217,Icon,CAM,M\L,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/1114.png?v=22,,
79,Eusébio,93,7.4M,4,5,94,94,86,93,45,79,76kg),551,491,2398,Icon,CF,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/242519.png?v=22,,
80,Carlos Alberto Torres,93,930K,3,4,90,66,81,86,90,87,76kg),124,500,2324,Icon,RB,H\M,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/112658.png,https://cdn.futbin.com/content/fifa20/img/players/167135.png?v=22,,
81,Cristiano Ronaldo,93,723K,5,4,90,93,82,89,35,78,7,83kg),967,467,2265,CL,ST,H\L,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/20801.png?v=22,
82,Kevin De Bruyne,93,392K,4,5,79,90,94,89,63,82,70kg),988,497,2376,CL TOTT,CAM,H\H,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p100856281.png?v=22,,
83,Neymar Jr,93,1.33M,5,5,92,86,88,96,33,59,68kg),430,454,2214,TOTY Nominee,LW,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p67299735.png?v=22,,
84,Neymar Jr,93,2.21M,5,5,92,87,89,96,33,59,68kg),3285,456,2226,IF,CAM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p84076951.png?v=22,,
